Address,Url,PriceLower,PriceUpper,PropertyType,NumBathrooms,NumBedrooms,NumCarSpaces,CityCode,Lat,Lng,H3Index
"805/15 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-140928208,630000,650000,Apartment,2,2,1,Adelaide,-34.88121536824469,138.57041321127667,87b91680effffff
"27/41 Hurtle Square, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147027996,635000,655000,Apartment,1,2,1,Adelaide,-34.93182854684359,138.6070252397105,87b91682effffff
"2311/17 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147292740,580000,580000,Apartment,1,1,0,Adelaide,-34.88121536824469,138.57041321127667,87b91680effffff
"1812/15 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146910916,480000,480000,Apartment,1,1,0,Adelaide,-34.88121536824469,138.57041321127667,87b91680effffff
"214 Carrington Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146689272,1595000,1695000,House,1,3,1,Adelaide,-34.93099630799129,138.61043659790454,87b91682effffff
"1603/180 Franklin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147148876,515000,515000,Apartment,1,1,1,Adelaide,-34.91518295,138.49773015,87b916870ffffff
"1107/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147015124,428000,428000,Apartment,1,1,1,Adelaide,-34.9271573,138.5928691,87b91682effffff
"24/21 Pulteney Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147243712,500000,500000,Apartment,1,1,0,Adelaide,-34.929808151062225,138.6061035492531,87b91682effffff
"202/185 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147208488,345000,345000,Apartment,1,1,0,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"80 South Terrace, Adelaide",https://www.realestate.com.au/property-residential+land-sa-adelaide-204072992,2500000,2500000,Residential,0,0,0,Adelaide,-34.97223563333057,138.54772088487408,87b91695effffff
"204/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146101224,299000,325000,Apartment,1,0,0,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"6/61 Symonds place, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-145395528,850000,850000,Townhouse,2,3,1,Adelaide,-34.93350950994527,138.6016072579468,87b91682effffff
"1202/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-133899558,610000,630000,Apartment,1,2,1,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"601A Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-126515198,410000,420000,Apartment,1,2,0,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"9/165 Beulah Road, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147428952,27032512,27032512,House,2,3,2,Adelaide,-34.91870179026342,138.62321294878805,87b916805ffffff
"49 Davenport Terrace, Wayville",https://www.realestate.com.au/property-house-sa-wayville-147125684,2650000,2850000,House,2,4,4,Adelaide,-34.943922521235365,138.59472420411961,87b91682cffffff
"137 Robsart Street, Parkside",https://www.realestate.com.au/property-house-sa-parkside-147279304,1645000,1695000,House,2,3,2,Adelaide,-34.94508501827885,138.61707748293847,87b916821ffffff
"2 Battams Street, Stepney",https://www.realestate.com.au/property-house-sa-stepney-147424292,1050000,1050000,House,1,3,1,Adelaide,-34.909428321007105,138.63027308586973,87b916804ffffff
"17 Foster Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-145691580,2450000,2650000,House,3,4,2,Adelaide,-34.91619329004659,138.63740742198067,87b916804ffffff
"312/3 Church Ave, Norwood",https://www.realestate.com.au/property-apartment-sa-norwood-146875304,1425000,1425000,Apartment,2,2,1,Adelaide,-34.92292488379596,138.63342734423017,87b916823ffffff
"27a Miller Street, Unley",https://www.realestate.com.au/property-townhouse-sa-unley-147134056,2000000,2200000,Townhouse,2,3,2,Adelaide,-34.94340644883712,138.60124348013753,87b91682effffff
"6/49 Duthy Street, Malvern",https://www.realestate.com.au/property-unit-sa-malvern-147276352,469000,499000,Unit,1,2,1,Adelaide,-34.95907045034637,138.61494631130924,87b916821ffffff
"5B Rosemont Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147120444,1850000,1950000,House,3,5,4,Adelaide,-34.92667051879134,138.62906130126854,87b916823ffffff
"87 Swaine Avenue, Rose Park",https://www.realestate.com.au/property-house-sa-rose+park-147150944,1250000,1250000,House,1,3,1,Adelaide,-34.93334802083103,138.6262261501613,87b916823ffffff
