"SourceIndex","DestinationIndex","CityCode","DurationCycle","DurationDrive","DurationTransit","DurationWalk"
"87b916822ffffff","87b916804ffffff","Adelaide","779","395","2807","2807"
"87b916822ffffff","87b916805ffffff","Adelaide","1086","591","3059","4452"
"87b916822ffffff","87b916806ffffff","Adelaide","1213","545","3624","4315"
"87b916822ffffff","87b916808ffffff","Adelaide","3337","1360","3999","11497"
"87b916822ffffff","87b916809ffffff","Adelaide","3561","1720","3253","13018"
"87b916822ffffff","87b91680affffff","Adelaide","3243","1394","5962","12755"
"87b916822ffffff","87b91680bffffff","Adelaide","3873","1616","5289","13722"
"87b916822ffffff","87b91680cffffff","Adelaide","2253","1245","3256","8674"
"87b916822ffffff","87b91680dffffff","Adelaide","2755","1465","2641","10652"
"87b916822ffffff","87b91680effffff","Adelaide","2694","1310","3376","10053"
"87b916822ffffff","87b916811ffffff","Adelaide","2368","1078","4701","8682"
"87b916822ffffff","87b916815ffffff","Adelaide","1689","729","2477","6621"
"87b916822ffffff","87b91681cffffff","Adelaide","2231","1127","4473","9313"
"87b916822ffffff","87b91681dffffff","Adelaide","2843","1311","4617","10832"
"87b916822ffffff","87b916820ffffff","Adelaide","928","403","3090","3090"
"87b916822ffffff","87b916821ffffff","Adelaide","1159","690","4218","4967"
"87b916822ffffff","87b916823ffffff","Adelaide","504","364","2159","2159"
"87b916822ffffff","87b916824ffffff","Adelaide","2219","763","4387","6358"
"87b916822ffffff","87b916825ffffff","Adelaide","1723","683","5098","5819"
"87b916822ffffff","87b916826ffffff","Adelaide","1667","334","4046","3827"
"87b916822ffffff","87b916828ffffff","Adelaide","1646","1195","3485","6760"
"87b916822ffffff","87b916829ffffff","Adelaide","2396","1349","4461","9067"
"87b916822ffffff","87b91682affffff","Adelaide","1513","1007","3839","6335"
"87b916822ffffff","87b91682bffffff","Adelaide","2180","1357","3232","8483"
"87b916822ffffff","87b91682cffffff","Adelaide","1743","947","3318","6775"
"87b916822ffffff","87b91682dffffff","Adelaide","2248","1116","3317","8629"
"87b916822ffffff","87b91682effffff","Adelaide","1143","703","3062","4355"
"87b916822ffffff","87b916831ffffff","Adelaide","754","388","2895","2895"
"87b916822ffffff","87b916833ffffff","Adelaide","1449","644","2331","5545"
"87b916822ffffff","87b916835ffffff","Adelaide","1122","351","2912","2912"
"87b916822ffffff","87b916856ffffff","Adelaide","4016","1834","3456","15007"
"87b916822ffffff","87b916872ffffff","Adelaide","3286","1701","3229","12891"
"87b916822ffffff","87b916874ffffff","Adelaide","2663","1513","4225","11243"
"87b916822ffffff","87b916876ffffff","Adelaide","2894","1679","3594","10808"
"87b916822ffffff","87b916919ffffff","Adelaide","3438","1021","8150","8965"
"87b916822ffffff","87b916952ffffff","Adelaide","1843","920","4191","7803"
"87b916822ffffff","87b916953ffffff","Adelaide","2207","1197","4422","9387"
"87b916822ffffff","87b916958ffffff","Adelaide","3078","1507","4426","12338"
"87b916822ffffff","87b91695affffff","Adelaide","2857","1381","4652","10861"
"87b916822ffffff","87b91695bffffff","Adelaide","3601","1812","4440","13675"
"87b916822ffffff","87b91695effffff","Adelaide","2737","1358","3745","10773"
"87b916811ffffff","87b916800ffffff","Adelaide","1451","681","2865","5229"
"87b916811ffffff","87b916801ffffff","Adelaide","1854","863","3186","6730"
"87b916811ffffff","87b916802ffffff","Adelaide","763","323","2745","2745"
"87b916811ffffff","87b916803ffffff","Adelaide","1422","704","4000","5105"
"87b916811ffffff","87b916804ffffff","Adelaide","1659","827","3713","6866"
"87b916811ffffff","87b916805ffffff","Adelaide","2032","1017","3317","7598"
"87b916811ffffff","87b916806ffffff","Adelaide","1200","740","2215","4678"
"87b916811ffffff","87b916808ffffff","Adelaide","2626","1184","5000","9824"
"87b916811ffffff","87b916809ffffff","Adelaide","3429","1518","5453","12093"
"87b916811ffffff","87b91680affffff","Adelaide","2588","1056","4265","7319"
"87b916811ffffff","87b91680bffffff","Adelaide","3279","1233","6472","9594"
"87b916811ffffff","87b91680cffffff","Adelaide","2440","1221","4563","9077"
"87b916811ffffff","87b91680dffffff","Adelaide","3020","1464","5232","11620"
"87b916811ffffff","87b91680effffff","Adelaide","2039","978","5282","7159"
"87b916811ffffff","87b916815ffffff","Adelaide","677","347","2278","2278"
"87b916811ffffff","87b91681cffffff","Adelaide","953","466","2580","2580"
"87b916811ffffff","87b91681dffffff","Adelaide","1711","751","6432","5028"
"87b916811ffffff","87b916820ffffff","Adelaide","2909","1281","4411","10899"
"87b916811ffffff","87b916821ffffff","Adelaide","3314","1518","3977","11936"
"87b916811ffffff","87b916822ffffff","Adelaide","2368","1078","4701","8682"
"87b916811ffffff","87b916823ffffff","Adelaide","2333","1211","4256","9355"
"87b916811ffffff","87b916824ffffff","Adelaide","4140","1641","4022","14167"
"87b916811ffffff","87b916825ffffff","Adelaide","3537","1560","4899","13628"
