source,destination,duration
"[""87b916873ffffff"", ""87b916851ffffff"", ""driving""]",516.8
"[""87b916873ffffff"", ""87b916842ffffff"", ""driving""]",354.2
"[""87b916873ffffff"", ""87b916844ffffff"", ""driving""]",280.8
"[""87b916873ffffff"", ""87b916862ffffff"", ""driving""]",534.7
"[""87b916873ffffff"", ""87b916875ffffff"", ""driving""]",534.7
"[""87b916873ffffff"", ""87b916874ffffff"", ""driving""]",586.4
"[""87b916873ffffff"", ""87b916829ffffff"", ""driving""]",919.8
"[""87b916873ffffff"", ""87b91682bffffff"", ""driving""]",788.2
"[""87b916873ffffff"", ""87b91680cffffff"", ""driving""]",853.5
"[""87b916873ffffff"", ""87b916808ffffff"", ""driving""]",815.8
"[""87b916873ffffff"", ""87b91680bffffff"", ""driving""]",817.5
"[""87b916873ffffff"", ""87b9168e5ffffff"", ""driving""]",916.8
"[""87b916873ffffff"", ""87b916852ffffff"", ""driving""]",755.1
"[""87b916873ffffff"", ""87b916853ffffff"", ""driving""]",647.9
"[""87b916873ffffff"", ""87b91685effffff"", ""driving""]",657.9
"[""87b916873ffffff"", ""87b916863ffffff"", ""driving""]",534.7
"[""87b916873ffffff"", ""87b916860ffffff"", ""driving""]",746.7
"[""87b916873ffffff"", ""87b916866ffffff"", ""driving""]",746.7
"[""87b916873ffffff"", ""87b91695bffffff"", ""driving""]",750.7
"[""87b916873ffffff"", ""87b91695affffff"", ""driving""]",931.5
"[""87be4925bffffff"", ""87be4925affffff"", ""driving""]",435.9
"[""87be4925bffffff"", ""87b9145b4ffffff"", ""driving""]",499
"[""87be4925bffffff"", ""87b9145b5ffffff"", ""driving""]",510.4
"[""87be4925bffffff"", ""87b9145a6ffffff"", ""driving""]",511.1
"[""87be4925bffffff"", ""87be49259ffffff"", ""driving""]",378
"[""87be4925bffffff"", ""87be49258ffffff"", ""driving""]",429.6
"[""87be4925bffffff"", ""87be4925effffff"", ""driving""]",642.8
"[""87be4925bffffff"", ""87be492edffffff"", ""driving""]",806.9
"[""87be4925bffffff"", ""87be492e9ffffff"", ""driving""]",744.9
"[""87be4925bffffff"", ""87b9145b6ffffff"", ""driving""]",815
"[""87be4925bffffff"", ""87b9145b0ffffff"", ""driving""]",652.9
"[""87be4925bffffff"", ""87b9145b1ffffff"", ""driving""]",918.2
"[""87be4925bffffff"", ""87b9145a2ffffff"", ""driving""]",714.3
"[""87be4925bffffff"", ""87b9145a0ffffff"", ""driving""]",886.6
"[""87be4925bffffff"", ""87b9145a4ffffff"", ""driving""]",742.9
"[""87be4925bffffff"", ""87be4924affffff"", ""driving""]",745.2
"[""87be4925bffffff"", ""87be4925dffffff"", ""driving""]",709.9
"[""87be4925bffffff"", ""87be4925cffffff"", ""driving""]",607.3
"[""87be4925bffffff"", ""87be49251ffffff"", ""driving""]",871.3
"[""87be4925bffffff"", ""87be49253ffffff"", ""driving""]",1015.8
"[""87be4925bffffff"", ""87be492ecffffff"", ""driving""]",1321.5
