Address,URL,Lat,Lon
"10 Dimora Court, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147221336,-34.9270761,138.6126324
"504/250 Flinders Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146745784,-34.9261668,138.6099585
"2011/15 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145461548,-34.9219419,138.6046856
"608/18 Surflen Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147200452,-34.9318441,138.6025167
"Penthouse/112 Carrington Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145509724,-34.9311331,138.6042743
"4/11 Winifred Street, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-147214248,-34.9351556,138.5922347
"619/61 Hindmarsh Square, Adelaide",https://www.realestate.com.au/property-serviced+apartment-sa-adelaide-143918348,-34.9247851,138.6045744
"3 Angas Court, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147211708,-34.9289706,138.6133453
"13a Halls Place, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147134360,-34.935525,138.5937323
"27/41 Hurtle Square, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147027996,-34.9333762,138.6051987
"5-9 Prospect Place, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-137161174,-34.9266219,138.5889857
"404/112 South Terrace, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147208452,-34.9356778,138.5969615
"25/211-219 Gilles Street, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-146733164,-34.9342881,138.6081543
"1302/156 Wright Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147205548,-34.9313797,138.5945858
"1908/29 Angas Street, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-147204256,-34.9304755,138.6019832
"718/185 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145886508,-34.9271418,138.5934539
"1804/17 Penny Place, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146161012,-34.9310118,138.6016612
"11/33-45 Stafford Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146826668,-34.9352275,138.5984095
"501/88 Frome Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146159004,-34.9242886,138.6083355
"1/179 Sturt st, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-146580552,-34.9335334,138.5920178
"607A/82 King William Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-140446991,-34.924544,138.6000379
"912/156 Wright Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146945616,-34.9315105,138.594387
"10 Crowther Street, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-145133536,-34.9265352,138.5911728
"319&605/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146944560,,
"520/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146944436,-34.9261004,138.588488
"404/62 Hurtle Square, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145004352,-34.9333989,138.6071263
"1405/15 Synagogue Place, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147048752,-34.9220181,138.6064273
"35d/17 Eden Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146210792,-34.9305333,138.6072674
"1304A/20 Hindmarsh Square, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145866800,-34.9233898,138.6066911
"202/9 Paxtons Walk, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-147005488,-34.9216994,138.6086457
"1010/156 Wright Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146295832,-34.9315615,138.5946025
"501/144 South Terrace, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147060832,-34.9353349,138.5989997
"2308/29 Angas Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146939488,-34.9304755,138.6018798
"419/185 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146917904,-34.9271341,138.5934363
"716/160 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146931656,-34.9286463,138.5925776
"46 Gilbert Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146931392,-34.93414509999999,138.5985828
"401 & 422/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146276800,,
